Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2017,107.05,107.10,101.10,102.65,102.522591809267448567,5201,65,533220.00,3992,76.75,6.00,-4.40
19-January-2017,106.60,107.00,104.00,104.50,105.737799834574028122,1209,33,127837.00,991,81.97,3.00,-2.10
18-January-2017,108.45,109.80,107.20,107.95,108.185161455663762173,7804,177,844277.00,5045,64.65,2.60,-0.50
17-January-2017,106.00,108.90,105.80,107.85,107.758594917787742899,1338,23,144181.00,939,70.18,3.10,1.85
16-January-2017,107.40,108.00,105.80,105.80,106.715248226950354609,2820,39,300937.00,821,29.11,2.20,-1.60
13-January-2017,106.00,108.25,106.00,106.25,106.984724292101341281,2684,23,287147.00,2277,84.84,2.25,0.25
12-January-2017,110.40,110.85,106.00,107.75,108.094945054945054945,6825,62,737748.00,2239,32.81,4.85,-2.65
11-January-2017,110.95,111.00,108.85,109.05,109.399576046634870164,1887,41,206437.00,1509,79.97,2.15,-1.90
10-January-2017,112.00,112.00,109.60,110.05,110.494782608695652173,2300,33,254138.00,1775,77.17,2.40,-1.95
9-January-2017,114.90,115.20,109.00,109.75,111.687382739212007504,8528,150,952470.00,6689,78.44,6.20,-5.15
6-January-2017,110.10,110.10,107.80,110.10,110.048718874052688560,2771,34,304945.00,2045,73.80,2.30,0.00
5-January-2017,101.00,104.90,100.00,104.90,103.352346642649854898,9993,147,1032800.00,5969,59.73,4.90,3.90
4-January-2017,99.50,102.00,99.50,99.95,100.293226381461675579,4488,101,450116.00,3422,76.25,2.50,0.45
3-January-2017,102.00,102.00,100.05,100.65,100.784908657664813343,6295,101,634441.00,4205,66.80,1.95,-1.35
2-January-2017,104.00,104.00,99.00,101.65,101.302024439175633777,5483,182,555439.00,5062,92.32,5.00,-2.35
