Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-July-2017,133.80,136.90,133.25,136.40,135.450779727095516569,6156,104,833835.00,4428,71.93,3.65,2.60
30-June-2017,130.50,136.35,129.75,131.85,132.706435381355932203,15104,285,2004398.00,7292,48.28,6.60,1.35
29-June-2017,131.20,137.00,129.65,132.35,131.179346141927486829,167804,339,22012419.00,137965,82.22,7.35,1.15
28-June-2017,132.00,134.05,127.00,128.95,130.037791555949217596,10161,211,1321314.00,5078,49.98,7.05,-3.05
27-June-2017,143.70,143.70,131.00,133.75,135.093216428241808952,10835,245,1463735.00,5725,52.84,12.70,-9.95
23-June-2017,147.75,150.65,142.00,143.40,146.137713622034179525,6027,259,880772.00,2326,38.59,8.65,-4.35
22-June-2017,157.05,158.10,145.50,147.20,149.391871517535234349,15255,326,2278973.00,8322,54.55,12.60,-9.85
21-June-2017,161.00,162.00,154.00,156.40,157.346559578038839606,8342,201,1312585.00,4260,51.07,8.00,-4.60
20-June-2017,164.10,165.00,161.85,162.55,163.279648164998483469,3297,70,538333.00,2075,62.94,3.15,-1.55
19-June-2017,164.00,166.40,162.95,164.95,164.367218987908643081,6699,120,1101096.00,4097,61.16,3.45,0.95
16-June-2017,167.00,169.50,162.25,166.20,165.767313915857605177,18540,285,3073326.00,12358,66.66,7.25,-0.80
15-June-2017,162.90,167.00,159.15,164.55,162.381448412698412698,12096,324,1964166.00,4275,35.34,7.85,1.65
14-June-2017,179.80,182.35,159.25,161.75,173.467199530688567866,68185,1255,11827861.00,29972,43.96,23.10,-18.05
13-June-2017,172.80,178.00,166.50,175.35,175.234169001899531699,53171,1085,9317376.00,13854,26.06,11.50,2.55
12-June-2017,156.50,177.00,151.60,173.30,166.110393293058809024,81110,1248,13473214.00,27784,34.25,25.40,16.80
9-June-2017,157.00,159.40,152.00,156.90,155.816670230966638152,18704,289,2914395.00,8348,44.63,7.40,-0.10
8-June-2017,154.90,158.40,149.35,156.25,154.879953177837509754,23066,482,3572461.00,10719,46.47,9.05,1.35
7-June-2017,148.10,155.00,147.60,153.50,151.712862773199570046,13955,235,2117153.00,8422,60.35,7.40,5.40
6-June-2017,152.00,152.00,143.55,147.05,146.605592347314201618,10872,203,1593896.00,5451,50.14,8.45,-4.95
5-June-2017,137.00,154.50,137.00,152.05,151.901450589301903898,44120,557,6701892.00,11726,26.58,17.50,15.05
2-June-2017,145.45,150.10,144.90,147.35,148.353522274972426029,41706,402,6187232.00,26661,63.93,5.20,1.90
1-June-2017,134.90,145.00,133.00,142.65,139.648439254435212216,26718,539,3731127.00,14900,55.77,12.00,7.75
31-May-2017,131.75,136.55,131.75,136.10,135.287478460654796094,3482,51,471071.00,2780,79.84,4.80,4.35
30-May-2017,132.70,136.80,131.00,133.80,134.126151753138334054,16171,220,2168954.00,8625,53.34,5.80,1.10
29-May-2017,131.00,137.95,130.00,134.30,133.040497651390123143,15754,383,2095920.00,7824,49.66,7.95,3.30
26-May-2017,128.00,138.05,127.50,132.40,133.477304446068983850,15047,260,2008433.00,8484,56.38,10.55,4.40
25-May-2017,125.40,130.50,123.00,128.10,126.083358024691358024,10125,157,1276594.00,6362,62.83,7.50,2.70
24-May-2017,127.20,128.00,121.75,123.35,125.341518872214643019,4398,112,551252.00,3628,82.49,6.25,-3.85
23-May-2017,131.00,131.00,126.55,127.50,127.848058177317035432,6463,100,826282.00,4427,68.50,4.45,-3.50
22-May-2017,129.00,133.50,126.45,131.40,129.057734627831715210,15450,217,1993942.00,8474,54.85,7.05,2.40
19-May-2017,132.20,137.80,126.45,130.15,129.614683135172573011,8663,179,1122852.00,2642,30.50,11.35,-2.05
18-May-2017,130.00,134.45,125.00,130.85,128.659012345679012345,40500,465,5210690.00,23233,57.37,9.45,0.85
17-May-2017,125.60,136.25,125.60,134.45,133.129253824539494224,28827,413,3837717.00,20226,70.16,10.65,8.85
16-May-2017,132.00,134.30,124.60,126.90,128.773857767183154549,12585,254,1620619.00,8272,65.73,9.70,-5.10
15-May-2017,128.00,137.60,127.90,133.85,133.896106200972562382,56346,681,7544510.00,21055,37.37,9.70,5.85
12-May-2017,117.50,128.00,116.70,124.65,123.479369138959931798,23460,262,2896826.00,11923,50.82,11.30,7.15
11-May-2017,113.15,120.10,111.70,118.75,118.289624165175258631,22909,234,2709897.00,14979,65.38,8.40,5.60
10-May-2017,111.60,115.20,109.00,113.60,113.035200205174237809,31193,273,3525907.00,21477,68.85,6.20,2.00
9-May-2017,113.45,115.00,110.55,111.75,112.271604938271604938,2430,67,272820.00,1615,66.46,4.45,-1.70
8-May-2017,109.00,114.10,107.05,112.70,110.708089546167007669,83577,808,9252650.00,52908,63.30,7.05,3.70
5-May-2017,115.00,117.40,108.10,109.65,111.539896799282081962,53488,646,5966046.00,30388,56.81,9.30,-5.35
4-May-2017,98.20,115.25,97.95,112.65,109.220821289743845310,80264,1014,8766500.00,39839,49.63,17.30,14.45
3-May-2017,101.00,101.00,98.20,98.35,99.109856576136710405,3277,51,324783.00,2732,83.37,2.80,-2.65
2-May-2017,102.80,103.50,98.00,98.35,100.245087420702460157,6463,158,647884.00,4409,68.22,5.50,-4.45
28-April-2017,106.85,107.30,104.15,104.90,105.489231229434639545,6686,128,705301.00,2559,38.27,3.15,-1.95
27-April-2017,104.70,106.35,102.50,104.15,104.100157109190887666,2546,51,265039.00,2193,86.14,3.85,-0.55
26-April-2017,107.10,107.10,103.00,105.50,105.226598226784881007,10715,102,1127503.00,8575,80.03,4.10,-1.60
25-April-2017,102.45,111.00,102.45,107.05,108.640813991500490356,12236,195,1329329.00,4504,36.81,8.55,4.60
24-April-2017,108.50,110.00,102.00,106.00,105.788387920034028073,4702,73,497417.00,2578,54.83,8.00,-2.50
21-April-2017,108.50,112.00,106.00,107.65,107.137292773217447287,12426,121,1331288.00,7665,61.69,6.00,-0.85
20-April-2017,109.00,111.95,108.60,111.15,110.392817371937639198,3592,26,396531.00,2345,65.28,3.35,2.15
19-April-2017,107.00,109.30,106.50,107.80,107.651797428496457622,3811,61,410261.00,1158,30.39,2.80,0.80
18-April-2017,109.55,112.70,108.85,109.00,110.916114968512837074,12386,140,1373807.00,10235,82.63,3.85,-0.55
17-April-2017,110.50,112.70,107.80,109.70,108.735997306094960152,8909,146,968729.00,5618,63.06,4.90,-0.80
13-April-2017,110.00,113.00,109.00,110.50,110.830539193475305845,2207,57,244603.00,1413,64.02,4.00,0.50
12-April-2017,112.00,112.35,108.80,110.60,109.859639968692929819,3833,83,421092.00,2596,67.73,3.55,-1.40
11-April-2017,115.00,116.40,111.35,113.10,112.951456310679611650,1236,49,139608.00,832,67.31,5.05,-1.90
10-April-2017,115.90,119.45,112.60,115.35,116.448275862068965517,17574,137,2046462.00,12612,71.77,6.85,-0.55
7-April-2017,110.60,120.70,110.00,113.35,116.368823964497041420,27040,403,3146613.00,14567,53.87,10.70,2.75
6-April-2017,106.70,113.00,105.50,111.75,109.366768138001014713,19710,380,2155619.00,13815,70.09,7.50,5.05
5-April-2017,102.00,110.30,102.00,105.65,107.108463325589113840,15065,209,1613589.00,11215,74.44,8.30,3.65
3-April-2017,104.00,104.05,101.80,103.50,103.110115020297699594,5912,57,609587.00,5070,85.76,2.25,-0.50
31-March-2017,98.55,104.40,98.55,100.30,102.729653065677503818,4583,85,470810.00,3778,82.44,5.85,1.75
30-March-2017,97.00,105.00,95.00,103.45,103.004242473688504528,12257,215,1262523.00,7211,58.83,10.00,6.45
29-March-2017,93.85,96.60,93.00,95.95,95.153985806238653243,18177,97,1729614.00,16217,89.22,3.60,2.10
28-March-2017,95.25,96.60,94.65,95.60,95.402130492676431424,6759,67,644823.00,6631,98.11,1.95,0.35
